id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
HSPA8,4,2.15E-11,2.56E-07,3.50E-05,1,4,-0.92036,1,1,1,19114,0,-0.92036
RPP21,4,5.12E-10,2.56E-07,3.50E-05,2,3,-1.0315,0.80432,0.91242,1,14942,0,-1.0315
EXOSC6,4,1.09E-09,2.56E-07,3.50E-05,3,3,-1.0413,0.94022,0.98353,1,17615,0,-1.0413
LCP2,4,2.09E-09,2.56E-07,3.50E-05,4,4,-1.6633,1,1,1,19112,0,-1.6633
MYC,4,2.19E-09,2.56E-07,3.50E-05,5,4,-0.95594,0.99999,1,1,19078,0,-0.95594
CD247,4,3.18E-09,2.56E-07,3.50E-05,6,4,-1.1377,1,1,1,19113,0,-1.1377
NOP14,4,6.69E-09,2.56E-07,3.50E-05,7,4,-0.83218,1,1,1,19111,0,-0.83218
VAV1,4,8.32E-09,2.56E-07,3.50E-05,8,3,-1.6458,0.18506,0.42154,1,5353,1,-1.6458
RHOH,4,1.22E-08,2.56E-07,3.50E-05,9,4,-0.75255,1,1,1,19110,0,-0.75255
DPH3,4,1.77E-08,2.56E-07,3.50E-05,10,4,-0.47301,1,1,1,19109,0,-0.47301
TAF1C,4,2.12E-08,2.56E-07,3.50E-05,11,4,-0.58082,1,1,1,19108,0,-0.58082
TRMT112,4,2.76E-08,2.56E-07,3.50E-05,12,4,-1.1678,0.99874,0.99994,1,18960,0,-1.1678
CCND2,4,2.88E-08,2.56E-07,3.50E-05,13,4,-0.62086,1,1,1,19107,0,-0.62086
SH2D1A,4,4.16E-08,2.56E-07,3.50E-05,14,4,-0.594,1,1,1,19106,0,-0.594
MARS,4,4.35E-08,2.56E-07,3.50E-05,15,4,-1.0735,1,1,1,19105,0,-1.0735
FAU,4,4.36E-08,2.56E-07,3.50E-05,16,4,-0.42873,1,1,1,19104,0,-0.42873
EXOSC8,4,5.46E-08,2.56E-07,3.50E-05,17,4,-0.4963,1,1,1,19103,0,-0.4963
CD3D,3,5.97E-08,2.56E-07,3.50E-05,18,3,-0.90248,1,1,1,19102,0,-0.90248
NELFCD,4,8.52E-08,2.56E-07,3.50E-05,19,4,-0.59559,1,1,1,19101,0,-0.59559
LCK,3,9.18E-08,2.56E-07,3.50E-05,20,3,-0.55336,1,1,1,19100,0,-0.55336
LUC7L3,4,1.15E-07,2.56E-07,3.50E-05,21,4,-0.52166,1,1,1,19099,0,-0.52166
EIF2B4,4,1.29E-07,2.56E-07,3.50E-05,22,4,-0.63012,1,1,1,19089,0,-0.63012
ORAOV1,4,1.31E-07,2.56E-07,3.50E-05,23,4,-0.78873,0.99929,0.99998,1,18997,0,-0.78873
PHB,4,2.46E-07,2.56E-07,3.50E-05,24,4,-0.3863,1,1,1,19098,0,-0.3863
VARS,4,2.84E-07,2.56E-07,3.50E-05,25,3,-1.05,0.76023,0.88309,1,14120,0,-1.05
NOL10,4,3.23E-07,2.56E-07,3.50E-05,26,4,-0.63124,1,1,1,19096,0,-0.63124
ZBTB8OS,4,3.50E-07,2.56E-07,3.50E-05,27,4,-0.69052,1,1,1,19083,0,-0.69052
SLC35B1,4,4.02E-07,2.56E-07,3.50E-05,28,4,-0.67016,1,1,1,19084,0,-0.67016
ORC3,4,4.07E-07,2.56E-07,3.50E-05,29,4,-0.45213,1,1,1,19097,0,-0.45213
NAA10,4,4.97E-07,2.56E-07,3.50E-05,30,3,-0.67531,0.99062,0.99859,1,18674,0,-0.67531
WDR18,4,5.51E-07,2.56E-07,3.50E-05,31,4,-0.45896,1,1,1,19095,0,-0.45896
EIF2B3,4,5.54E-07,2.56E-07,3.50E-05,32,4,-0.55741,1,1,1,19094,0,-0.55741
CARD11,4,6.05E-07,2.56E-07,3.50E-05,33,4,-0.48269,1,1,1,19093,0,-0.48269
DHX37,4,6.61E-07,2.56E-07,3.50E-05,34,4,-0.60704,1,1,1,19092,0,-0.60704
DDX54,4,6.76E-07,2.56E-07,3.50E-05,35,4,-0.45099,1,1,1,19091,0,-0.45099
LAT,4,7.49E-07,2.56E-07,3.50E-05,36,3,-1.1532,0.35722,0.54564,1,7490,1,-1.1532
EMG1,4,7.91E-07,2.56E-07,3.50E-05,37,4,-0.59465,1,1,1,19081,0,-0.59465
ALDOA,4,8.95E-07,2.56E-07,3.50E-05,38,4,-0.65005,0.99959,0.99999,1,19014,0,-0.65005
GRPEL1,4,1.06E-06,2.56E-07,3.50E-05,39,4,-0.755,0.99927,0.99998,1,18995,0,-0.755
ARMC7,4,1.17E-06,2.56E-07,3.50E-05,40,4,-0.78011,0.99886,0.99994,1,18966,0,-0.78011
POLR2L,4,1.33E-06,2.56E-07,3.50E-05,41,3,-0.99268,0.99091,0.99862,1,18679,0,-0.99268
ABCF1,4,1.40E-06,2.56E-07,3.50E-05,42,4,-0.45481,1,1,1,19090,0,-0.45481
NOP56,4,1.54E-06,2.56E-07,3.50E-05,43,4,-0.67977,1,1,1,19088,0,-0.67977
HUWE1,4,1.73E-06,2.56E-07,3.50E-05,44,4,-0.48467,1,1,1,19087,0,-0.48467
PSENEN,4,1.87E-06,2.56E-07,3.50E-05,45,4,-0.58028,0.99984,1,1,19036,0,-0.58028
RELA,4,1.88E-06,2.56E-07,3.50E-05,46,3,-0.67629,0.99386,0.99921,1,18758,0,-0.67629
KARS,4,1.89E-06,2.56E-07,3.50E-05,47,3,-0.4236,0.96946,0.99395,1,18189,0,-0.4236
SUPT4H1,3,2.10E-06,2.56E-07,3.50E-05,48,3,-0.88275,1,1,1,19086,0,-0.88275
NOP16,4,2.11E-06,2.56E-07,3.50E-05,49,4,-0.43713,1,1,1,19085,0,-0.43713
VHL,4,2.83E-06,2.56E-07,3.50E-05,50,3,-0.69381,0.99448,0.99936,1,18787,0,-0.69381
GFER,4,2.97E-06,2.56E-07,3.50E-05,51,4,-0.56824,1,1,1,19082,0,-0.56824
BPTF,4,3.15E-06,2.56E-07,3.50E-05,52,4,-0.51963,0.99983,1,1,19033,0,-0.51963
RAC2,4,3.40E-06,2.56E-07,3.50E-05,53,3,-0.56591,0.96095,0.99068,1,18010,0,-0.56591
PTP4A2,4,3.78E-06,2.56E-07,3.50E-05,54,4,-0.44836,0.9999,1,1,19047,0,-0.44836
GATA3,4,3.98E-06,2.56E-07,3.50E-05,55,4,-0.42886,0.9992,0.99997,1,18990,0,-0.42886
TELO2,4,4.05E-06,2.56E-07,3.50E-05,56,4,-0.47448,0.99993,1,1,19050,0,-0.47448
TSR2,4,4.68E-06,2.56E-07,3.50E-05,57,3,-0.64118,0.96869,0.99341,1,18179,0,-0.64118
EIF3B,4,5.19E-06,2.56E-07,3.50E-05,58,4,-0.60246,0.99999,1,1,19080,0,-0.60246
TAF6,2,5.22E-06,2.56E-07,3.50E-05,59,2,-1.3359,0.99999,1,1,19079,0,-1.3359
PRELID1,4,5.40E-06,2.56E-07,3.50E-05,60,3,-0.46154,0.97795,0.99583,1,18386,0,-0.46154
BMS1,4,5.69E-06,2.56E-07,3.50E-05,61,4,-0.49669,0.99999,1,1,19077,0,-0.49669
PMPCA,4,6.06E-06,2.56E-07,3.50E-05,62,3,-0.62794,0.86863,0.95357,1,16183,0,-0.62794
CD3E,4,6.14E-06,2.56E-07,3.50E-05,63,3,-0.44884,0.63913,0.77488,1,11861,0,-0.44884
FOXO1,4,6.18E-06,2.56E-07,3.50E-05,64,3,-0.3215,0.98115,0.99649,1,18442,0,-0.3215
RPL5,4,6.20E-06,2.56E-07,3.50E-05,65,3,-0.53504,0.44989,0.63018,1,8756,1,-0.53504
RPL6,3,6.37E-06,2.56E-07,3.50E-05,66,3,-0.52071,0.99999,1,1,19076,0,-0.52071
LRP10,4,7.03E-06,2.56E-07,3.50E-05,67,4,-0.43484,0.99888,0.99994,1,18969,0,-0.43484
FARSA,4,7.84E-06,2.56E-07,3.50E-05,68,4,-0.34182,0.99999,1,1,19075,0,-0.34182
CAPZB,4,8.07E-06,2.56E-07,3.50E-05,69,4,-0.41913,0.99999,1,1,19074,0,-0.41913
GART,4,8.31E-06,2.56E-07,3.50E-05,70,3,-0.4733,0.99817,0.99989,1,18937,0,-0.4733
FBL,4,8.49E-06,2.56E-07,3.50E-05,71,4,-0.40003,0.99972,0.99999,1,19024,0,-0.40003
GEMIN8,4,8.59E-06,2.56E-07,3.50E-05,72,3,-0.31596,0.94285,0.98427,1,17668,0,-0.31596
CCAR1,4,8.99E-06,2.56E-07,3.50E-05,73,4,-0.38494,0.99994,1,1,19053,0,-0.38494
SLC7A6OS,4,9.48E-06,2.56E-07,3.50E-05,74,4,-0.46536,0.99995,1,1,19057,0,-0.46536
EIF6,4,1.02E-05,2.56E-07,3.50E-05,75,2,-0.82462,0.076363,0.24427,1,2658,1,-0.82462
STT3B,4,1.07E-05,2.56E-07,3.50E-05,76,4,-0.58776,0.99999,1,1,19073,0,-0.58776
POP7,4,1.09E-05,2.56E-07,3.50E-05,77,4,-0.58635,0.99999,1,1,19072,0,-0.58635
GMPPB,4,1.17E-05,2.56E-07,3.50E-05,78,4,-0.6189,0.99999,1,1,19071,0,-0.6189
TP53RK,4,1.39E-05,2.56E-07,3.50E-05,79,3,-0.60585,0.68267,0.81994,1,12651,0,-0.60585
EIF3I,4,1.46E-05,2.56E-07,3.50E-05,80,3,-0.3517,0.70452,0.83826,1,13073,0,-0.3517
CCNH,4,1.48E-05,2.56E-07,3.50E-05,81,4,-0.63594,0.99973,0.99999,1,19026,0,-0.63594
CCT7,4,1.69E-05,2.56E-07,3.50E-05,82,4,-0.62681,0.99996,1,1,19061,0,-0.62681
NMD3,4,1.72E-05,2.56E-07,3.50E-05,83,4,-0.36065,0.99998,1,1,19068,0,-0.36065
PHAX,4,1.73E-05,2.56E-07,3.50E-05,84,4,-0.46681,0.99998,1,1,19070,0,-0.46681
NMNAT1,4,1.75E-05,2.56E-07,3.50E-05,85,4,-0.40249,0.99998,1,1,19069,0,-0.40249
TEX10,4,1.81E-05,2.56E-07,3.50E-05,86,3,-0.70182,0.95402,0.98816,1,17874,0,-0.70182
DHX33,4,1.86E-05,2.56E-07,3.50E-05,87,3,-0.5379,0.67976,0.81881,1,12597,0,-0.5379
QARS,3,1.86E-05,2.56E-07,3.50E-05,88,2,-0.93371,0.51607,0.65249,1,9731,0,-0.93371
EID2,4,2.02E-05,2.56E-07,3.50E-05,89,4,-0.50343,0.99998,1,1,19067,0,-0.50343
IRF4,4,2.02E-05,2.56E-07,3.50E-05,90,4,-0.56913,0.99998,1,1,19066,0,-0.56913
YWHAZ,3,2.06E-05,2.56E-07,3.50E-05,91,3,-0.46954,0.99998,1,1,19065,0,-0.46954
EIF3H,4,2.20E-05,2.56E-07,3.50E-05,92,3,-0.49109,0.55556,0.69854,1,10367,1,-0.49109
PGK1,4,2.30E-05,2.56E-07,3.50E-05,93,3,-0.36961,0.98976,0.99837,1,18650,0,-0.36961
TAF4,4,2.36E-05,2.56E-07,3.50E-05,94,3,-0.36175,0.9974,0.99977,1,18893,0,-0.36175
ERCC2,4,2.39E-05,2.56E-07,3.50E-05,95,4,-0.4765,0.99998,1,1,19064,0,-0.4765
SEC61B,4,2.44E-05,2.56E-07,3.50E-05,96,4,-0.4931,0.99993,1,1,19051,0,-0.4931
YARS,4,2.61E-05,2.56E-07,3.50E-05,97,2,-0.36462,0.97666,0.99563,1,18353,0,-0.36462
RPL38,4,3.12E-05,2.56E-07,3.50E-05,98,4,-0.54246,0.99997,1,1,19063,0,-0.54246
TAF8,4,3.18E-05,2.56E-07,3.50E-05,99,3,-0.38146,0.061618,0.20126,1,2313,1,-0.38146
ZCCHC8,4,3.20E-05,2.56E-07,3.50E-05,100,4,-0.35295,0.9994,0.99998,1,19004,0,-0.35295
CMPK1,4,3.29E-05,2.56E-07,3.50E-05,101,4,-0.46524,0.99997,1,1,19062,0,-0.46524
TAF2,4,3.38E-05,2.56E-07,3.50E-05,102,2,-0.55185,0.74556,0.87137,1,13832,0,-0.55185
IARS,3,3.78E-05,2.56E-07,3.50E-05,103,3,-0.85366,0.99444,0.9993,1,18784,0,-0.85366
PSMG3,4,3.83E-05,2.56E-07,3.50E-05,104,3,-0.49527,0.89555,0.96586,1,16717,0,-0.49527
GTF3A,4,3.90E-05,2.56E-07,3.50E-05,105,4,-0.555,0.99968,0.99999,1,19019,0,-0.555
EIF3C,4,3.94E-05,2.56E-07,3.50E-05,106,4,-0.74975,0.99978,1,1,19030,0,-0.74975
ALG13,4,4.08E-05,2.56E-07,3.50E-05,107,2,-0.4179,0.81099,0.9156,1,15074,0,-0.4179
PLCG1,4,4.37E-05,2.56E-07,3.50E-05,108,2,-0.34824,0.98403,0.99694,1,18511,0,-0.34824
EIF4E,4,4.44E-05,2.56E-07,3.50E-05,109,4,-0.41047,0.99993,1,1,19052,0,-0.41047
WDR77,4,4.50E-05,2.56E-07,3.50E-05,110,2,-0.43736,0.98411,0.99694,1,18516,0,-0.43736
CIAO1,4,4.58E-05,2.56E-07,3.50E-05,111,4,-0.42479,0.99995,1,1,19060,0,-0.42479
SPATA5L1,4,4.61E-05,2.56E-07,3.50E-05,112,3,-0.47865,0.55814,0.70283,1,10420,1,-0.47865
NOP2,3,4.63E-05,2.56E-07,3.50E-05,113,2,-0.61125,0.10877,0.28412,1,3441,1,-0.61125
COL4A3BP,4,4.64E-05,2.56E-07,3.50E-05,114,4,-0.28096,0.99995,1,1,19059,0,-0.28096
IMP3,4,4.74E-05,2.56E-07,3.50E-05,115,4,-0.55528,0.99995,1,1,19058,0,-0.55528
RPL28,4,4.77E-05,2.56E-07,3.50E-05,116,3,-0.62061,0.72595,0.85611,1,13469,0,-0.62061
AK2,4,4.80E-05,2.56E-07,3.50E-05,117,4,-0.30723,0.99994,1,1,19054,0,-0.30723
EIF2B2,4,4.85E-05,2.56E-07,3.50E-05,118,2,-0.27459,0.11544,0.30642,1,3610,2,-0.27459
NAF1,4,4.87E-05,2.56E-07,3.50E-05,119,3,-0.33998,0.59487,0.73573,1,11049,1,-0.33998
UTP3,4,4.97E-05,2.56E-07,3.50E-05,120,3,-0.55712,0.98729,0.99789,1,18588,0,-0.55712
EIF4G1,4,5.45E-05,2.56E-07,3.50E-05,121,3,-0.59218,0.79074,0.90082,1,14693,0,-0.59218
GPN1,4,5.54E-05,2.56E-07,3.50E-05,122,2,-0.50061,0.79528,0.90567,1,14772,0,-0.50061
UTP6,4,5.70E-05,2.56E-07,3.50E-05,123,4,-0.50552,0.99994,1,1,19056,0,-0.50552
DAD1,2,5.74E-05,2.56E-07,3.50E-05,124,2,-1.3428,0.99994,1,1,19055,0,-1.3428
ALG2,3,5.81E-05,7.67E-07,9.20E-05,125,2,-1.1012,0.88248,0.95458,1,16437,0,-1.1012
CDK6,3,5.88E-05,7.67E-07,9.20E-05,126,2,-1.0857,0.74959,0.86821,1,13908,0,-1.0857
TMX1,4,6.12E-05,2.56E-07,3.50E-05,127,3,-0.49683,0.99002,0.99846,1,18657,0,-0.49683
MED19,4,6.18E-05,2.56E-07,3.50E-05,128,3,-0.53045,0.791,0.90152,1,14696,0,-0.53045
PRKCQ,4,6.21E-05,2.56E-07,3.50E-05,129,3,-0.35013,0.96713,0.99284,1,18140,0,-0.35013
GRAP2,4,6.43E-05,2.56E-07,3.50E-05,130,2,-0.48184,0.78698,0.89937,1,14608,0,-0.48184
RASGRP1,4,6.49E-05,2.56E-07,3.50E-05,131,4,-0.51002,0.99986,1,1,19039,0,-0.51002
THAP11,4,6.56E-05,2.56E-07,3.50E-05,132,3,-0.45821,0.75346,0.87732,1,13980,0,-0.45821
ZPR1,4,6.95E-05,2.56E-07,3.50E-05,133,3,-0.39442,0.69407,0.82972,1,12876,0,-0.39442
NHP2,4,7.22E-05,2.56E-07,3.50E-05,134,3,-0.47179,0.98059,0.99643,1,18434,0,-0.47179
