,gene_symbol
0,SKI
1,CAMTA1
2,GREB1L
3,TNFRSF1A
4,SUFU
5,FKBP10
6,POGZ
7,EP300
8,TNXB
9,ZBTB18
10,NOD2
11,TMCO1
12,PIEZO2
13,ZNF462
14,OXCT1
15,AMER1
16,NSD2
17,IFIH1
18,ADNP
19,SPG11
20,SON
21,MED13L
22,ALDH7A1
23,WDR62
24,TOR1A
25,FLVCR1
26,RP1
27,PLCB4
28,PRG4
29,UBE3B
30,FUS
31,KMT2A
32,SLC35A2
33,UNC80
34,EBP
35,SATB2
36,NR3C2
37,NPHS2
38,STAT1
39,DDX3X
40,ABCG8
41,EIF2B2
42,CTSA
43,PHEX
44,NLRC4
45,FLNA
46,FOXP1
47,ABCC8
48,RELN
49,NFIX
51,ADAMTS2
52,AIMP2
53,ANKRD11
54,ARHGAP29
55,ARID1B
56,ARSB
57,ASCC1
58,ASXL1
59,ASXL3
60,ATP2A2
61,CASR
62,CHM
63,CHRNE
64,CNTNAP2
65,COL2A1
66,COMP
67,COQ8A
68,CREBBP
69,DCC
70,DEPDC5
72,ADA
73,AGA
74,AGL
75,AGXT
76,AIRE
77,ALDH3A2
78,ALDOB
79,ALG6
80,ALPL
81,AMT
82,ARG1
83,ARSA
84,ASL
85,ASPA
86,ASS1
87,BBS1
88,BBS10
89,BBS12
90,BBS2
91,BCKDHA
92,BCKDHB
93,BLM
94,BTD
95,BTK
96,CAPN3
97,CBS
98,CFTR
99,CLN3
100,CLN5
101,CLN6
102,CLN8
103,COL4A3
104,COL4A4
105,COL4A5
106,CPS1
107,CPT2
108,CTNS
109,CTSK
110,CYP11B1
111,CYP21A2
112,CYP27A1
113,DBT
114,DHCR7
115,DLD
116,DMD
117,DYSF
118,EIF2B5
119,ELP1
120,ERCC6
121,ERCC8
122,EVC
123,EVC2
124,FAH
125,FANCA
126,FANCC
127,FKRP
128,FMR1
129,G6PC1
130,GALC
131,GALK1
132,GALT
133,GBA1
134,GCDH
135,GLB1
136,GLDC
137,GNE
138,GNPTAB
139,GNPTG
140,GRHPR
141,HBB
142,HEXA
143,HEXB
144,HGSNAT
145,HLCS
146,HMGCL
147,HOGA1
148,HSD17B4
149,IDS
150,IDUA
151,IL2RG
152,IVD
153,KCNJ11
154,LAMA2
155,LAMA3
156,LAMB3
157,LAMC2
158,LIPA
159,LRPPRC
160,MAN2B1
161,MCOLN1
162,MEFV
163,MKS1
164,MLC1
165,MMAA
166,MMAB
167,MMACHC
168,MPI
169,MTM1
170,NAGLU
171,NBN
172,NEB
173,NPC1
174,NPC2
175,NPHS1
177,NR0B1
178,OPA3
179,PAH
180,PC
181,PCCA
182,PCCB
183,PEX1
184,PEX10
185,PEX12
186,PEX2
187,PEX6
188,PEX7
189,PKHD1
190,PMM2
191,POMGNT1
192,PPT1
193,PROP1
194,RMRP
195,RS1
196,SACS
197,SGCA
198,SGCB
199,SGCD
200,SGCG
201,SGSH
202,SLC17A5
203,SLC22A5
204,SLC37A4
205,SMN1
206,SMPD1
207,STAR
208,TAT
209,TCIRG1
210,TGM1
211,TH
