Gene,Pathogenic,Likely pathogenic,VUS,Likely benign,Benign,GTR_tests,Disease,B_cell,HAP1,Known_complex,ComplexName,GFP_tagged,GFP_score,meltPoint,Stable,Secreted
AAMP,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,49.5794326,yes,No
ABCB7,4,3,21,23,10,70,X-linked sideroblastic anemia with ataxia,Essential,Essential,No,NA,No,NA,51.79552383,yes,No
ABCF1,0,0,0,1,2,1,NA,Essential,Essential,No,NA,No,NA,51.87164147,yes,No
AKIRIN2,0,0,0,0,2,1,NA,Essential,Essential,No,NA,No,NA,52.35586591,yes,No
ALG13,2,3,99,118,21,96,"Epileptic encephalopathy, early infantile, 36",Essential,Essential,No,NA,No,NA,53.99527872,yes,No
ARCN1,1,1,2,5,9,8,"Short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay",Essential,Essential,No,NA,No,NA,50.87771202,yes,No
ATL2,0,0,0,0,1,1,NA,Essential,Essential,No,NA,No,NA,51.15236024,yes,No
BMS1,1,0,0,21,16,3,Aplasia cutis congenita (disease),Essential,Essential,No,NA,No,NA,52.80978346,yes,No
BUD31,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,52.34314342,yes,No
CCDC115,2,0,1,3,2,17,CCDC115-CDG,Essential,Essential,No,NA,No,NA,55.04942819,yes,No
CCDC84,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,50.74221787,yes,No
CCDC86,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,56.17750285,yes,No
CCDC94,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,51.76763299,yes,No
CEBPZ,0,0,1,1,0,1,NA,Essential,Essential,No,NA,No,NA,51.93130649,yes,No
CNOT3,2,0,1,0,0,9,"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, AUTISM, AND DYSMORPHIC FACIES",Essential,Essential,No,NA,No,NA,50.3894072,yes,No
COPB1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,51.20407678,yes,No
COPG1,0,0,2,0,2,1,NA,Essential,Essential,No,NA,No,NA,53.2655973,yes,No
COX15,1,2,116,33,12,121,Mitochondrial diseases,Essential,Essential,No,NA,No,NA,58.90695515,yes,No
CSNK1A1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,49.10886471,yes,No
CSTF1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,54.86569856,yes,No
CTU2,3,0,1,7,13,4,"MICROCEPHALY, FACIAL DYSMORPHISM, RENAL AGENESIS, AND AMBIGUOUS GENITALIA SYNDROME",Essential,Essential,No,NA,No,NA,54.50864144,yes,No
DARS2,16,10,43,16,23,96,Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome,Essential,Essential,No,NA,No,NA,54.92877619,yes,No
DDX18,0,0,0,0,7,1,NA,Essential,Essential,No,NA,No,NA,53.00352003,yes,No
DDX27,0,0,0,0,3,1,NA,Essential,Essential,No,NA,No,NA,53.05881814,yes,No
DDX39B,0,0,0,0,3,1,NA,Essential,Essential,No,NA,No,NA,53.06757933,yes,No
