Unnamed: 0,GeneSymbol,#AlleleID,GeneID,HGNC_ID,PhenotypeIDS,PhenotypeList,Origin,OriginSimple,Assembly,ChromosomeAccession,Chromosome,Cytogenetic,TestedInGTR,SCVsForAggregateSomaticClinicalImpact,Entry,Protein names,Gene Names,Length,Ensembl,Subcellular location [CC],Synonyms,secreted,cytoplasmic,nuclear,class,Benign,Benign; association,Conflicting classifications of pathogenicity,Conflicting classifications of pathogenicity; association,Likely benign,Likely benign; association,Likely pathogenic,Likely pathogenic; Affects,Likely pathogenic; association,Pathogenic,Pathogenic/Likely pathogenic; association,Uncertain significance,Uncertain significance; Affects,Mislocalized,Mislocalization phenotype,is_Toxic_Gene,Disease,B_cell,T_cell,HAP1,Known_complex,ComplexName,GFP_tagged,GFP_score,meltPoint,Stable,Secreted,tagged_terminus,Main location,Additional location,location_feasible
0,AAAS,20083,8086,HGNC:13666,"MONDO:MONDO:0009279,MedGen:C0271742,OMIM:231550,Orphanet:869|MedGen:C3661900||MeSH:D030342,MedGen:C0950123",Glucocorticoid deficiency with achalasia|not provided|AAAS-related disorder|Inborn genetic diseases,germline,germline,GRCh38,NC_000012.12,12,12q13.13,N,-,Q9NRG9,Aladin (Adracalin),AAAS ADRACALA GL003,546.0,ENST00000209873.9 [Q9NRG9-1];ENST00000394384.7 [Q9NRG9-2];ENST00000708962.1 [Q9NRG9-2];ENST00000708963.1 [Q9NRG9-1];,"SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000269|PubMed:19782045}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:26246606}. Nucleus envelope {ECO:0000269|PubMed:27754849}. Note=In metaphase cells localizes within the spindle with some accumulation around spindle poles, with the highest concentration between the centrosome and metaphase plate (PubMed:26246606). The localization to the spindle is microtubule-mediated (PubMed:26246606). {ECO:0000269|PubMed:26246606}.",ADRACALA GL003,no,yes,yes,cytoplasmic,0,0,6,0,3,0,8,0,0,4,0,109,0,,,False,Glucocorticoid deficiency with achalasia,non-essential,Non-essential,non-essential,No,,Yes,3.71,55.93678124,yes,No,,Nuclear membrane,Centrosome;Cytosol;End piece;Nucleoplasm,True
1,AAGAB,703299,79719,HGNC:25662,MedGen:C3661900,not provided,germline,germline,GRCh38,NC_000015.10,15,15q23,N,-,Q6PD74,Alpha- and gamma-adaptin-binding protein p34,AAGAB,315.0,ENST00000261880.10 [Q6PD74-1];ENST00000542650.5 [Q6PD74-2];ENST00000561452.5 [Q6PD74-2];,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:23000146, ECO:0000269|PubMed:23064416}.",,no,yes,no,cytoplasmic,3,0,4,0,3,0,1,0,0,0,0,46,0,,,False,Keratosis palmoplantaris papulosa,non-essential,Non-essential,non-essential,No,,No,,47.56629582,no,No,,Cytosol;Nuclear speckles,,True
5,ABAT,31255,18,HGNC:23,"MONDO:MONDO:0013166,MedGen:C0342708,OMIM:613163,Orphanet:2066",Gamma-aminobutyric acid transaminase deficiency,germline,germline,GRCh38,NC_000016.10,16,16p13.2,N,-,P80404,"4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)",ABAT GABAT,500.0,ENST00000268251.13;ENST00000396600.6;ENST00000425191.6;,SUBCELLULAR LOCATION: Mitochondrion matrix.,GABAT,no,yes,no,cytoplasmic,1,0,6,0,2,0,4,0,0,5,0,211,0,0.0,,False,Gamma-aminobutyric acid transaminase deficiency,non-essential,Non-essential,non-essential,No,,Yes,2.14,56.2029497,yes,No,,Mitochondria,,False
24,ABHD12,133702,26090,HGNC:15868,"MedGen:CN169374|MONDO:MONDO:0012984,MedGen:C2675204,OMIM:612674,Orphanet:171848|MedGen:C3661900",not specified|PHARC syndrome|not provided,germline,germline,GRCh38,NC_000020.11,20,20p11.21,N,-,Q8N2K0,Lysophosphatidylserine lipase ABHD12 (EC 3.1.-.-) (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (hABHD12) (Monoacylglycerol lipase ABHD12) (EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12) (EC 3.1.-.-),ABHD12 C20orf22,398.0,ENST00000339157.10 [Q8N2K0-1];ENST00000376542.8 [Q8N2K0-2];,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:30237167}; Single-pass membrane protein {ECO:0000255}.,C20orf22,no,yes,no,cytoplasmic,2,0,7,0,1,0,1,0,0,1,0,186,0,,,False,"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract",non-essential,Non-essential,non-essential,No,,No,,53.55566442,yes,No,,,,False
25,ABHD16A,1189394,7920,HGNC:13921,"MONDO:MONDO:0030673,MedGen:C5676910,OMIM:619735,Orphanet:631085|Human Phenotype Ontology:HP:0001258,Human Phenotype Ontology:HP:0007062,Human Phenotype Ontology:HP:0007124,Human Phenotype Ontology:HP:0007216,MedGen:C0037772","Spastic paraplegia 86, autosomal recessive|Spastic paraplegia",germline,germline,GRCh38,NC_000006.12,6,6p21.33,N,-,O95870,Phosphatidylserine lipase ABHD16A (EC 3.1.-.-) (Alpha/beta hydrolase domain-containing protein 16A) (Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5) (hBAT5) (Monoacylglycerol lipase ABHD16A) (EC 3.1.1.23) (Protein G5),ABHD16A BAT5 G5 NG26 PP199,558.0,ENST00000395952.8 [O95870-1];ENST00000440843.2 [O95870-2];ENST00000446529.6 [O95870-1];ENST00000548592.1 [O95870-2];ENST00000549722.1 [O95870-2];ENST00000549853.1 [O95870-2];ENST00000550556.1 [O95870-2];ENST00000551038.1 [O95870-2];ENST00000552042.1 [O95870-2];,SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q9Z1Q2}; Multi-pass membrane protein {ECO:0000255}.,BAT5 G5 NG26 PP199,no,yes,no,cytoplasmic,0,0,0,0,5,0,0,0,0,0,0,45,0,,,False,,non-essential,Non-essential,non-essential,No,,No,,50.8747524,yes,No,,,,False
26,ABHD5,20390,51099,HGNC:21396,"MONDO:MONDO:0010155,MedGen:C0268238,OMIM:275630,Orphanet:98907|MedGen:C3661900",Triglyceride storage disease with ichthyosis|not provided,germline,germline,GRCh38,NC_000003.12,3,3p21.33,N,-,Q8WTS1,1-acylglycerol-3-phosphate O-acyltransferase ABHD5 (EC 2.3.1.51) (Abhydrolase domain-containing protein 5) (Lipid droplet-binding protein CGI-58),ABHD5 NCIE2 CGI-58,349.0,ENST00000644371.2;ENST00000649763.1;,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18832586}. Lipid droplet {ECO:0000250|UniProtKB:Q9DBL9}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9DBL9}. Note=Colocalized with PLIN and ADRP on the surface of lipid droplets. The localization is dependent upon the metabolic status of the adipocytes and the activity of PKA (By similarity). {ECO:0000250}.",NCIE2 CGI-58,no,yes,no,cytoplasmic,1,0,3,0,3,0,2,0,0,1,0,82,0,0.0,,False,Triglyceride storage disease with ichthyosis,non-essential,Non-essential,non-essential,No,,Yes,3.66,50.48685839,yes,No,,Cytosol;Vesicles,Nucleoplasm,True
28,ACAD8,20394,27034,HGNC:87,"MONDO:MONDO:0012648,MedGen:C1969809,OMIM:611283,Orphanet:79159|MedGen:C3661900",Deficiency of isobutyryl-CoA dehydrogenase|not provided,germline,germline,GRCh38,NC_000011.10,11,11q25,N,-,Q9UKU7,"Isobutyryl-CoA dehydrogenase, mitochondrial (IBDH) (EC 1.3.8.5) (Activator-recruited cofactor 42 kDa component) (ARC42) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)",ACAD8 ARC42 IBD,415.0,ENST00000281182.9 [Q9UKU7-1];ENST00000374752.6 [Q9UKU7-2];,"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:11013134, ECO:0000269|PubMed:12359132}.",ARC42 IBD,no,yes,no,cytoplasmic,1,0,15,0,5,0,10,0,0,4,0,97,0,,,False,Deficiency of isobutyryl-CoA dehydrogenase,non-essential,Non-essential,non-essential,No,,Yes,4.69,57.09437984,yes,No,,,,False
30,ACADM,18625,34,HGNC:89,"MONDO:MONDO:0008721,MedGen:C0220710,OMIM:201450,Orphanet:42|MedGen:C3661900|MeSH:D030342,MedGen:C0950123||Human Phenotype Ontology:HP:0011097,MedGen:C1527366|",Medium-chain acyl-coenzyme A dehydrogenase deficiency|not provided|Inborn genetic diseases|ACADM-related disorder|Epileptic spasm|See cases,de novo;germline;inherited;maternal;paternal;unknown,germline,GRCh38,NC_000001.11,1,1p31.1,Y,-,P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7) (Medium chain acyl-CoA dehydrogenase) (MCADH)",ACADM,421.0,ENST00000370841.9 [P11310-1];ENST00000420607.6 [P11310-2];,SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:16020546}.,,no,yes,no,cytoplasmic,1,0,47,0,1,0,96,0,0,20,0,145,0,0.0,,False,Medium-chain acyl-coenzyme A dehydrogenase deficiency,non-essential,Non-essential,non-essential,No,,No,,56.95429413,yes,No,,Mitochondria,Calyx;Principal piece,False
31,ACADS,18864,35,HGNC:90,"MedGen:C3661900|MONDO:MONDO:0008722,MedGen:C0342783,OMIM:201470,Orphanet:26792||MeSH:D030342,MedGen:C0950123",not provided|Deficiency of butyryl-CoA dehydrogenase|ACADS-related disorder|Inborn genetic diseases,germline;unknown,germline,GRCh38,NC_000012.12,12,12q24.31,N,-,P16219,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial (SCAD) (EC 1.3.8.1) (Butyryl-CoA dehydrogenase)",ACADS,412.0,ENST00000242592.9;,SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:Q3ZBF6}.,,no,yes,no,cytoplasmic,0,0,18,0,6,0,26,0,0,3,0,142,0,0.0,,False,Deficiency of butyryl-CoA dehydrogenase,non-essential,Non-essential,non-essential,No,,No,,54.5606704,yes,No,,Mitochondria,Centrosome;End piece;Mid piece;Nucleoplasm;Principal piece,True
32,ACADSB,24238,36,HGNC:91,"Human Phenotype Ontology:HP:0020147,MONDO:MONDO:0012392,MedGen:C1864912,OMIM:610006,Orphanet:79157",Deficiency of 2-methylbutyryl-CoA dehydrogenase,germline,germline,GRCh38,NC_000010.11,10,10q26.13,N,-,P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)",ACADSB,432.0,ENST00000358776.7 [P45954-1];ENST00000368869.8 [P45954-2];,SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000305|PubMed:11013134}.,,no,yes,no,cytoplasmic,3,0,5,0,0,0,4,0,0,4,0,70,0,0.0,,False,Deficiency of 2-methylbutyryl-CoA dehydrogenase,non-essential,Non-essential,non-essential,No,,No,,53.57020168,yes,No,,Mitochondria,,False
